"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 28 20:24:01 UTC 2025","Tue Jan 28 20:24:10 UTC 2025","9551","Practica_1.Practica_2.tests","test_google","","","","test_google_homepage",""
"passed","Tue Jan 28 20:24:14 UTC 2025","Tue Jan 28 20:24:14 UTC 2025","492","Practica_1.Practica_2.tests.ui_tests","test_login","","","","test_login_wruser",""
"passed","Tue Jan 28 20:24:15 UTC 2025","Tue Jan 28 20:24:16 UTC 2025","484","Practica_1.Practica_2.tests.ui_tests","test_login","","","","test_login_empty",""
"passed","Tue Jan 28 20:24:12 UTC 2025","Tue Jan 28 20:24:13 UTC 2025","932","Practica_1.Practica_2.tests.ui_tests","test_login","","","","test_login_success",""
